epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,781.257,1.13438,2.54978,1.91316,0.25382,0.44035,0.23269,0.17897,0.77749,1.7018,1.60165,0.00333267,0.00333267,0.00333267
2,1563.83,0.91686,1.78283,1.76362,0.41763,0.42204,0.31671,0.25448,0.75148,1.44431,1.58583,0.006622,0.006622,0.006622
3,2350.56,0.91633,1.63858,1.78234,0.47546,0.42821,0.38004,0.30281,0.75774,1.33619,1.57076,0.00986734,0.00986734,0.00986734
4,3104.21,0.9226,1.58473,1.80579,0.59633,0.44127,0.45448,0.36418,0.74601,1.19926,1.57081,0.009802,0.009802,0.009802
5,3858.7,0.89068,1.49933,1.78296,0.61731,0.43839,0.4531,0.36444,0.73348,1.23734,1.56907,0.009736,0.009736,0.009736
6,4609.93,0.85478,1.40723,1.7627,0.64336,0.46967,0.48398,0.39689,0.70628,1.11346,1.52423,0.00967,0.00967,0.00967
7,5363.62,0.84243,1.37333,1.74779,0.71707,0.47018,0.5071,0.42533,0.66017,1.03313,1.50347,0.009604,0.009604,0.009604
8,6124.31,0.81178,1.31681,1.71691,0.72637,0.46864,0.51432,0.43249,0.65047,1.00063,1.48063,0.009538,0.009538,0.009538
9,6874.81,0.7998,1.28799,1.71196,0.75699,0.48923,0.52997,0.44684,0.64253,0.94975,1.47068,0.009472,0.009472,0.009472
10,7626.33,0.79599,1.25429,1.72117,0.7626,0.49156,0.53318,0.45316,0.64873,0.91239,1.47714,0.009406,0.009406,0.009406
11,8380.61,0.77975,1.23098,1.71025,0.75295,0.48883,0.53169,0.45291,0.62322,0.95316,1.44374,0.00934,0.00934,0.00934
12,9134.76,0.77102,1.19952,1.69923,0.764,0.48956,0.53562,0.45292,0.62772,0.91651,1.46022,0.009274,0.009274,0.009274
13,9904.02,0.76272,1.17043,1.691,0.79613,0.47461,0.53892,0.46111,0.61291,0.91484,1.45971,0.009208,0.009208,0.009208
14,10665.6,0.75713,1.16774,1.68748,0.7862,0.50664,0.55262,0.47262,0.60576,0.86034,1.4406,0.009142,0.009142,0.009142
15,11418.6,0.7452,1.13992,1.67281,0.79557,0.50501,0.55036,0.47703,0.58792,0.856,1.43682,0.009076,0.009076,0.009076
16,12172,0.73705,1.13841,1.67271,0.79201,0.50558,0.55162,0.47607,0.58573,0.83461,1.43001,0.00901,0.00901,0.00901
17,12925.7,0.74329,1.11979,1.66807,0.80407,0.50716,0.55727,0.48001,0.59716,0.8269,1.42969,0.008944,0.008944,0.008944
18,13696.8,0.73381,1.09768,1.67302,0.79367,0.51353,0.55589,0.48218,0.5689,0.81866,1.4114,0.008878,0.008878,0.008878
19,14468.4,0.72858,1.08561,1.6516,0.81239,0.51267,0.56315,0.4891,0.56847,0.79957,1.39901,0.008812,0.008812,0.008812
20,15229.2,0.72116,1.08502,1.66388,0.81539,0.50899,0.56138,0.48758,0.57246,0.79734,1.39004,0.008746,0.008746,0.008746
21,15986.1,0.71132,1.04993,1.6482,0.8212,0.51466,0.56523,0.49335,0.56232,0.78034,1.39633,0.00868,0.00868,0.00868
22,16744.3,0.70515,1.05689,1.63066,0.80194,0.5219,0.56333,0.49373,0.5543,0.78477,1.39294,0.008614,0.008614,0.008614
23,17509.8,0.7066,1.04636,1.63683,0.81162,0.52661,0.56843,0.49737,0.55026,0.76953,1.38516,0.008548,0.008548,0.008548
24,18276.6,0.6988,1.04544,1.64019,0.81536,0.52724,0.57088,0.49891,0.54149,0.76747,1.3745,0.008482,0.008482,0.008482
25,19040.5,0.70081,1.03362,1.63257,0.83347,0.52304,0.57488,0.50599,0.53551,0.74542,1.38011,0.008416,0.008416,0.008416
26,19795,0.69356,1.01542,1.64051,0.83212,0.52716,0.57855,0.507,0.54,0.7327,1.37626,0.00835,0.00835,0.00835
27,20546.7,0.69448,1.00069,1.63402,0.83565,0.52743,0.57909,0.51038,0.53011,0.72664,1.38639,0.008284,0.008284,0.008284
28,21302.2,0.6932,1.00263,1.6335,0.8408,0.52406,0.57492,0.50678,0.52455,0.74348,1.37832,0.008218,0.008218,0.008218
29,22064,0.6776,0.99045,1.61856,0.84633,0.5253,0.57944,0.51356,0.51972,0.72449,1.36265,0.008152,0.008152,0.008152
30,22860.1,0.67836,0.99277,1.61618,0.84493,0.52369,0.57877,0.51145,0.51504,0.72013,1.35455,0.008086,0.008086,0.008086
31,23658.6,0.68296,0.99875,1.62399,0.83146,0.53581,0.57974,0.51197,0.51674,0.7228,1.36401,0.00802,0.00802,0.00802
32,24438.9,0.67666,0.98915,1.61807,0.8496,0.52943,0.58342,0.51682,0.51463,0.70485,1.36782,0.007954,0.007954,0.007954
33,25204.6,0.67005,0.96564,1.60886,0.83836,0.53409,0.58391,0.51784,0.51084,0.70114,1.35625,0.007888,0.007888,0.007888
34,25964.5,0.66777,0.97408,1.60866,0.84746,0.53411,0.58656,0.51952,0.50924,0.6867,1.35509,0.007822,0.007822,0.007822
35,26725.3,0.66271,0.9627,1.60601,0.84449,0.53541,0.58277,0.51706,0.50246,0.69093,1.34803,0.007756,0.007756,0.007756
36,27481.9,0.66167,0.94849,1.60261,0.85521,0.53392,0.58811,0.52337,0.49568,0.67779,1.33526,0.00769,0.00769,0.00769
37,28235.2,0.6634,0.95979,1.60105,0.85394,0.53462,0.58757,0.523,0.49275,0.67846,1.34346,0.007624,0.007624,0.007624
38,28988.4,0.65757,0.93949,1.59329,0.85926,0.53463,0.59126,0.52514,0.49153,0.67432,1.33989,0.007558,0.007558,0.007558
39,577.133,0.6353,0.89321,1.57694,0.84256,0.54423,0.5934,0.53101,0.47963,0.66008,1.3248,0.007492,0.007492,0.007492
40,1110.16,0.63433,0.90929,1.57496,0.86444,0.5387,0.593,0.52992,0.47932,0.65848,1.32831,0.007426,0.007426,0.007426
41,1641.55,0.63485,0.89557,1.57529,0.8587,0.54355,0.59342,0.53068,0.47164,0.64583,1.3186,0.00736,0.00736,0.00736
42,2188.76,0.63541,0.88753,1.57567,0.86501,0.54112,0.5959,0.53364,0.47069,0.63941,1.31213,0.007294,0.007294,0.007294
43,2759.42,0.63033,0.88888,1.56873,0.85719,0.54886,0.59622,0.53499,0.46757,0.6314,1.30865,0.007228,0.007228,0.007228
44,3375.67,0.63055,0.8676,1.56661,0.86125,0.54315,0.5969,0.53523,0.46429,0.63602,1.30002,0.007162,0.007162,0.007162
45,3968.19,0.62618,0.87965,1.5618,0.8537,0.54736,0.59768,0.53617,0.4626,0.6277,1.30272,0.007096,0.007096,0.007096
46,4539.44,0.61742,0.86533,1.55383,0.87262,0.54315,0.5992,0.53835,0.45955,0.62227,1.30012,0.00703,0.00703,0.00703
47,5083.83,0.61736,0.87171,1.55723,0.86765,0.54787,0.60102,0.54015,0.45777,0.61726,1.29905,0.006964,0.006964,0.006964
48,5626.21,0.61599,0.85846,1.55489,0.85979,0.54978,0.60016,0.54088,0.45097,0.61372,1.29365,0.006898,0.006898,0.006898
49,6168.57,0.61485,0.85159,1.54883,0.86665,0.54954,0.60111,0.54146,0.44784,0.61256,1.30191,0.006832,0.006832,0.006832
50,6713.8,0.60714,0.84923,1.53857,0.87116,0.54788,0.60169,0.5419,0.44729,0.61285,1.29859,0.006766,0.006766,0.006766
51,7260.82,0.61377,0.85349,1.55447,0.86659,0.55009,0.60107,0.54273,0.44817,0.6131,1.29359,0.0067,0.0067,0.0067
52,7814.42,0.612,0.85153,1.54728,0.86623,0.55114,0.60181,0.54226,0.45064,0.61012,1.29836,0.006634,0.006634,0.006634
53,8381.5,0.60315,0.83859,1.53728,0.8616,0.55228,0.60302,0.54634,0.44244,0.60085,1.28323,0.006568,0.006568,0.006568
54,8933.44,0.59822,0.83809,1.53309,0.86242,0.55488,0.60321,0.54543,0.44186,0.6011,1.28547,0.006502,0.006502,0.006502
55,9485.76,0.60818,0.84583,1.54414,0.87078,0.54974,0.60142,0.54405,0.44328,0.60384,1.2883,0.006436,0.006436,0.006436
56,10038.6,0.59891,0.82157,1.53042,0.86681,0.55247,0.60216,0.54561,0.44137,0.6003,1.28778,0.00637,0.00637,0.00637
57,10589,0.59444,0.82298,1.52973,0.8721,0.55086,0.60413,0.54607,0.44152,0.59631,1.28936,0.006304,0.006304,0.006304
58,11143.6,0.59654,0.82151,1.53392,0.86761,0.55368,0.60433,0.54674,0.43612,0.5912,1.28086,0.006238,0.006238,0.006238
59,11693.2,0.59405,0.83129,1.52938,0.87637,0.55145,0.60398,0.54662,0.4378,0.59206,1.28509,0.006172,0.006172,0.006172
60,12243.8,0.59019,0.81187,1.5257,0.88285,0.55086,0.60441,0.54693,0.43496,0.5877,1.28138,0.006106,0.006106,0.006106
61,12795,0.58781,0.81448,1.52774,0.87676,0.55205,0.60587,0.54888,0.43325,0.58181,1.27692,0.00604,0.00604,0.00604
62,13345.6,0.58808,0.81574,1.52289,0.87344,0.55525,0.60644,0.54875,0.43296,0.58101,1.27623,0.005974,0.005974,0.005974
63,13898.6,0.58894,0.81692,1.52592,0.8738,0.55554,0.60809,0.55142,0.43044,0.57587,1.27703,0.005908,0.005908,0.005908
64,14449.6,0.58817,0.8066,1.52323,0.86608,0.55907,0.60935,0.55284,0.4274,0.57394,1.27139,0.005842,0.005842,0.005842
65,15003.5,0.58394,0.80521,1.52643,0.86786,0.55849,0.60982,0.55363,0.42579,0.57178,1.27032,0.005776,0.005776,0.005776
66,15556.5,0.5837,0.81144,1.52212,0.87952,0.55403,0.60989,0.55425,0.42406,0.57342,1.26608,0.00571,0.00571,0.00571
67,16109,0.58052,0.78898,1.51305,0.88204,0.55269,0.60922,0.55374,0.42364,0.57272,1.26794,0.005644,0.005644,0.005644
68,16664,0.57949,0.78824,1.51668,0.88213,0.55337,0.61023,0.55388,0.42263,0.57236,1.26279,0.005578,0.005578,0.005578
69,17217.7,0.5771,0.79047,1.51951,0.86318,0.56256,0.61026,0.5542,0.42179,0.56897,1.26313,0.005512,0.005512,0.005512
70,17769.2,0.58154,0.78724,1.52154,0.87408,0.55757,0.61014,0.55393,0.42078,0.56774,1.26601,0.005446,0.005446,0.005446
71,18322.7,0.57595,0.78456,1.51413,0.87815,0.55618,0.61058,0.55507,0.42004,0.56774,1.26895,0.00538,0.00538,0.00538
72,18878.6,0.57755,0.78729,1.51097,0.87468,0.55756,0.61061,0.55497,0.41948,0.56718,1.26792,0.005314,0.005314,0.005314
73,19429.5,0.57455,0.78183,1.50807,0.87914,0.55669,0.61085,0.55605,0.41807,0.5639,1.26709,0.005248,0.005248,0.005248
74,19983.2,0.57001,0.77837,1.50475,0.87261,0.56165,0.61155,0.55605,0.41792,0.56174,1.26645,0.005182,0.005182,0.005182
75,20536.6,0.57091,0.77698,1.51065,0.87957,0.55933,0.61261,0.55671,0.41807,0.55948,1.26642,0.005116,0.005116,0.005116
76,21090.2,0.57346,0.77557,1.51157,0.87855,0.55984,0.6129,0.55718,0.41776,0.55671,1.26588,0.00505,0.00505,0.00505
77,21643.2,0.56769,0.77446,1.50239,0.88036,0.55924,0.61294,0.55746,0.41719,0.5553,1.26464,0.004984,0.004984,0.004984
78,22196.5,0.56243,0.76331,1.49986,0.88023,0.55886,0.61289,0.55775,0.41666,0.55454,1.26398,0.004918,0.004918,0.004918
79,22751.8,0.56027,0.76099,1.49662,0.88276,0.55947,0.6125,0.55784,0.41561,0.55339,1.26305,0.004852,0.004852,0.004852
80,23306.2,0.56546,0.76711,1.50569,0.88657,0.55769,0.61267,0.55772,0.41509,0.55329,1.26213,0.004786,0.004786,0.004786
81,23860.4,0.55941,0.7525,1.49729,0.89043,0.55719,0.61274,0.5581,0.41332,0.55295,1.26154,0.00472,0.00472,0.00472
82,24412.4,0.55881,0.75845,1.49765,0.88812,0.55824,0.61308,0.55814,0.41214,0.553,1.26098,0.004654,0.004654,0.004654
83,24966.4,0.55911,0.76061,1.49706,0.87708,0.56158,0.6124,0.55859,0.41144,0.55211,1.25932,0.004588,0.004588,0.004588
84,25521.1,0.55353,0.74588,1.49408,0.886,0.55867,0.61307,0.55897,0.41093,0.55115,1.25847,0.004522,0.004522,0.004522
85,26075.6,0.5517,0.75149,1.49372,0.87746,0.56278,0.61325,0.55935,0.41005,0.55024,1.25706,0.004456,0.004456,0.004456
86,26630.1,0.55301,0.74526,1.49142,0.8821,0.56086,0.61307,0.55939,0.40909,0.5491,1.25493,0.00439,0.00439,0.00439
87,27182.2,0.5536,0.74809,1.49137,0.88165,0.56058,0.61313,0.5596,0.40844,0.54799,1.2534,0.004324,0.004324,0.004324
88,27733.3,0.55162,0.74283,1.48359,0.88108,0.56072,0.61329,0.55984,0.40804,0.54724,1.25259,0.004258,0.004258,0.004258
89,28288.5,0.5452,0.73984,1.48396,0.88259,0.56034,0.61367,0.55993,0.40741,0.54627,1.25141,0.004192,0.004192,0.004192
