epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1416.06,1.01543,2.43402,1.90066,0.21204,0.49916,0.20052,0.15475,0.81759,1.76786,1.63298,0.00030297,0.00030297,0.00030297
2,2767.59,0.90135,1.80979,1.8345,0.25797,0.46289,0.23942,0.19149,0.77081,1.65316,1.61414,0.000588829,0.000588829,0.000588829
3,4115.54,0.87226,1.67785,1.82157,0.38488,0.4599,0.30668,0.24504,0.74731,1.47385,1.60564,0.000857548,0.000857548,0.000857548
4,5463.33,0.84312,1.57171,1.80678,0.44971,0.44979,0.36995,0.29822,0.70604,1.34938,1.59185,0.000831865,0.000831865,0.000831865
5,6819.49,0.81069,1.4695,1.78961,0.53745,0.43729,0.42117,0.34449,0.73597,1.30771,1.63176,0.000806153,0.000806153,0.000806153
6,8173.53,0.78922,1.38125,1.76892,0.60572,0.4699,0.47268,0.3982,0.67372,1.1353,1.53665,0.000780441,0.000780441,0.000780441
7,9537.75,0.76726,1.31916,1.76418,0.68093,0.4628,0.49221,0.41273,0.63811,1.1179,1.54315,0.00075473,0.00075473,0.00075473
8,10890.3,0.75141,1.25972,1.74212,0.71997,0.4674,0.51256,0.43523,0.63504,1.05215,1.51478,0.000729018,0.000729018,0.000729018
9,12248.4,0.7335,1.18994,1.7284,0.75339,0.48056,0.5259,0.44647,0.63905,1.00166,1.52543,0.000703306,0.000703306,0.000703306
10,13608.2,0.72143,1.15589,1.72056,0.77898,0.49596,0.54636,0.46717,0.62727,0.92776,1.49155,0.000677595,0.000677595,0.000677595
11,14959.6,0.69972,1.12206,1.68581,0.7676,0.4798,0.53056,0.45818,0.60388,0.9756,1.47873,0.000651883,0.000651883,0.000651883
12,16315.3,0.69977,1.09996,1.69466,0.74351,0.49373,0.53163,0.4608,0.59997,0.97859,1.48039,0.000626171,0.000626171,0.000626171
13,17671.4,0.68378,1.05806,1.67869,0.79027,0.50082,0.55552,0.47961,0.59242,0.88931,1.46999,0.000600459,0.000600459,0.000600459
14,19020.6,0.68076,1.05413,1.6809,0.77866,0.50954,0.55341,0.47925,0.59628,0.87716,1.46479,0.000574748,0.000574748,0.000574748
15,20373.7,0.67034,1.02567,1.67753,0.78521,0.51085,0.55468,0.48438,0.56533,0.88362,1.44696,0.000549036,0.000549036,0.000549036
16,21728.3,0.65458,0.99397,1.66688,0.79961,0.51164,0.56019,0.49274,0.56541,0.85588,1.45002,0.000523324,0.000523324,0.000523324
17,23084.2,0.64921,0.98475,1.64084,0.80136,0.50431,0.55639,0.48781,0.56882,0.86383,1.45301,0.000497613,0.000497613,0.000497613
18,24436,0.64193,0.95205,1.64043,0.8027,0.51982,0.56947,0.50132,0.5503,0.82873,1.42779,0.000471901,0.000471901,0.000471901
19,25795.1,0.63923,0.95901,1.64715,0.82145,0.5243,0.5735,0.50357,0.54664,0.79386,1.4424,0.000446189,0.000446189,0.000446189
20,27158.9,0.63269,0.94014,1.62755,0.81827,0.52271,0.57197,0.5027,0.54661,0.79207,1.43798,0.000420477,0.000420477,0.000420477
21,28513.3,0.62332,0.91346,1.62413,0.82479,0.52948,0.57487,0.50445,0.53791,0.79247,1.42098,0.000394766,0.000394766,0.000394766
22,29875.8,0.61367,0.90714,1.62051,0.81621,0.52458,0.57451,0.50786,0.53062,0.78646,1.42428,0.000369054,0.000369054,0.000369054
23,31230.2,0.60172,0.88399,1.59913,0.83527,0.52699,0.58049,0.51444,0.52515,0.75156,1.40842,0.000343342,0.000343342,0.000343342
24,32581.4,0.59788,0.87231,1.59794,0.82574,0.53394,0.58567,0.51921,0.51848,0.74698,1.40916,0.000317631,0.000317631,0.000317631
25,33940.2,0.58553,0.8452,1.5832,0.83472,0.53582,0.58701,0.52063,0.50814,0.72788,1.39019,0.000291919,0.000291919,0.000291919
26,35326,0.49362,0.71904,1.41348,0.83599,0.52542,0.58383,0.52148,0.49897,0.74303,1.37345,0.000266207,0.000266207,0.000266207
27,36671.3,0.48162,0.69614,1.3959,0.83089,0.53341,0.58616,0.52385,0.49495,0.72766,1.37847,0.000240495,0.000240495,0.000240495
28,38012.6,0.47234,0.676,1.38747,0.84406,0.53037,0.58702,0.52599,0.49072,0.72426,1.37434,0.000214784,0.000214784,0.000214784
29,39358.4,0.46634,0.66356,1.37399,0.83174,0.5336,0.58936,0.52738,0.48577,0.71419,1.36598,0.000189072,0.000189072,0.000189072
30,40706.5,0.46009,0.64559,1.37211,0.83385,0.53055,0.58759,0.52768,0.47738,0.71826,1.36502,0.00016336,0.00016336,0.00016336
31,42060.6,0.45081,0.62908,1.3647,0.83177,0.52889,0.58742,0.52795,0.4744,0.72672,1.36738,0.000137649,0.000137649,0.000137649
32,43402.5,0.44388,0.61865,1.35349,0.83086,0.53693,0.58852,0.53044,0.47022,0.71245,1.35646,0.000111937,0.000111937,0.000111937
33,44746.4,0.43242,0.60564,1.33682,0.83667,0.53496,0.59096,0.53214,0.46763,0.70325,1.35293,8.62251e-05,8.62251e-05,8.62251e-05
34,46089.6,0.42935,0.59555,1.33687,0.83345,0.53607,0.59096,0.5335,0.46497,0.69704,1.35017,6.05134e-05,6.05134e-05,6.05134e-05
35,47437.6,0.42128,0.5787,1.32092,0.83894,0.53671,0.59217,0.53488,0.46542,0.69185,1.34778,3.48017e-05,3.48017e-05,3.48017e-05
