epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1410.53,0.89081,2.38039,1.72494,0.15758,0.44681,0.13929,0.10992,0.77265,1.95303,1.60684,0.00030297,0.00030297,0.00030297
2,2752.53,0.76234,1.70237,1.62622,0.22095,0.44723,0.21552,0.16828,0.80845,1.70414,1.62552,0.000545979,0.000545979,0.000545979
3,4090.08,0.735,1.57405,1.60002,0.23558,0.42143,0.23104,0.18984,0.76397,1.72334,1.63015,0.000728994,0.000728994,0.000728994
4,5429.92,0.69842,1.49328,1.57372,0.28069,0.42821,0.2597,0.21708,0.70206,1.72878,1.53371,0.000639027,0.000639027,0.000639027
5,6767.45,0.65206,1.37715,1.52932,0.38495,0.4409,0.32506,0.2728,0.68299,1.44965,1.52018,0.000549036,0.000549036,0.000549036
6,8101.73,0.62065,1.27549,1.51983,0.4125,0.42573,0.35019,0.30013,0.65249,1.51504,1.5159,0.000459045,0.000459045,0.000459045
7,9436.98,0.58118,1.17839,1.47467,0.49944,0.4429,0.41146,0.35585,0.6247,1.28058,1.49274,0.000369054,0.000369054,0.000369054
8,10772.4,0.5554,1.10584,1.45273,0.58989,0.45742,0.45994,0.39757,0.59306,1.13188,1.45998,0.000279063,0.000279063,0.000279063
9,12105.2,0.52708,1.01609,1.43659,0.62643,0.4618,0.47385,0.41105,0.57382,1.10375,1.43321,0.000189072,0.000189072,0.000189072
10,13442.9,0.51143,0.94346,1.4131,0.63409,0.4551,0.47084,0.40759,0.56664,1.16426,1.42121,9.9081e-05,9.9081e-05,9.9081e-05
