epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,686.564,1.02235,2.41644,1.88903,0.2746,0.44894,0.24767,0.19131,0.68565,1.53537,1.57439,0.00333232,0.00333232,0.00333232
2,1273.52,0.80137,1.62133,1.73532,0.51402,0.43725,0.41331,0.34177,0.67164,1.20038,1.55887,0.00659966,0.00659966,0.00659966
3,1856.78,0.79217,1.38902,1.74496,0.7022,0.46102,0.50278,0.41693,0.67571,1.00731,1.54527,0.00980101,0.00980101,0.00980101
4,2387.84,0.80173,1.30466,1.77154,0.75402,0.48093,0.52613,0.4355,0.65748,0.93521,1.52519,0.009703,0.009703,0.009703
5,2909.76,0.76943,1.22102,1.72753,0.76821,0.49512,0.54051,0.45476,0.61921,0.88193,1.51505,0.009604,0.009604,0.009604
6,3433.04,0.75092,1.16184,1.72314,0.7858,0.50464,0.5494,0.46838,0.62199,0.83349,1.49525,0.009505,0.009505,0.009505
7,3957.23,0.7353,1.12433,1.71368,0.78487,0.50309,0.54948,0.46557,0.59828,0.83121,1.46573,0.009406,0.009406,0.009406
8,4484.05,0.71255,1.07625,1.68857,0.8081,0.50655,0.56105,0.48258,0.58254,0.78756,1.47257,0.009307,0.009307,0.009307
9,5004.89,0.70319,1.04058,1.69122,0.77631,0.50913,0.55263,0.47549,0.57915,0.81976,1.46358,0.009208,0.009208,0.009208
10,5523.27,0.6961,1.02426,1.67995,0.81845,0.51689,0.56924,0.49057,0.58203,0.77261,1.46434,0.009109,0.009109,0.009109
11,6040.5,0.6845,1.00104,1.66839,0.81707,0.52844,0.57772,0.50218,0.54644,0.7248,1.43523,0.00901,0.00901,0.00901
12,6558.68,0.67822,0.977,1.6516,0.83111,0.52801,0.57501,0.50046,0.55256,0.72094,1.44231,0.008911,0.008911,0.008911
13,7079.5,0.66676,0.97026,1.65425,0.83213,0.53177,0.57648,0.50389,0.5332,0.72187,1.43359,0.008812,0.008812,0.008812
14,7597.05,0.66078,0.9437,1.64036,0.8304,0.53215,0.58155,0.50665,0.53443,0.70738,1.42152,0.008713,0.008713,0.008713
15,8120.75,0.65624,0.93668,1.63655,0.81168,0.53442,0.58104,0.50996,0.52132,0.70659,1.404,0.008614,0.008614,0.008614
16,8641.51,0.64826,0.92179,1.6224,0.8284,0.52818,0.58089,0.50653,0.52529,0.70252,1.40538,0.008515,0.008515,0.008515
17,9159.3,0.63896,0.90666,1.61951,0.84896,0.53108,0.58473,0.5133,0.51946,0.68371,1.39312,0.008416,0.008416,0.008416
18,9679.25,0.63337,0.88945,1.61001,0.8495,0.5383,0.58839,0.51706,0.51946,0.6744,1.42243,0.008317,0.008317,0.008317
19,10196.7,0.63105,0.88193,1.60714,0.8409,0.53873,0.58872,0.51848,0.50764,0.67178,1.39483,0.008218,0.008218,0.008218
20,10711.2,0.62553,0.86605,1.59995,0.84954,0.54229,0.59191,0.52489,0.49275,0.65534,1.39453,0.008119,0.008119,0.008119
21,11226.5,0.62861,0.87105,1.60843,0.84121,0.54924,0.59773,0.52939,0.4911,0.63907,1.37189,0.00802,0.00802,0.00802
22,11744.1,0.61504,0.86494,1.59408,0.86348,0.53791,0.5961,0.53002,0.48159,0.63459,1.3799,0.007921,0.007921,0.007921
23,12262.5,0.61235,0.84449,1.58576,0.87883,0.53764,0.59733,0.52992,0.49117,0.63656,1.36209,0.007822,0.007822,0.007822
24,12783,0.61677,0.856,1.5834,0.85867,0.5393,0.59218,0.52771,0.48015,0.64517,1.36582,0.007723,0.007723,0.007723
