epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1884.51,0.97913,2.32635,2.10197,0.28061,0.40374,0.23995,0.19212,0.80152,1.66629,1.85247,0.000302969,0.000302969,0.000302969
2,3638.05,0.91158,1.67127,2.08251,0.47496,0.4222,0.37821,0.30659,0.76151,1.38998,1.84068,0.000555977,0.000555977,0.000555977
3,5428.41,0.77274,1.38655,1.86174,0.51893,0.41444,0.38486,0.29986,0.7721,1.35976,1.80956,0.000758989,0.000758989,0.000758989
4,7188.01,0.72587,1.24242,1.78448,0.61594,0.44747,0.44698,0.36128,0.7154,1.22528,1.72489,0.000684022,0.000684022,0.000684022
5,9044.68,0.68065,1.12622,1.74218,0.60424,0.44614,0.46049,0.38066,0.68347,1.233,1.67066,0.00060903,0.00060903,0.00060903
6,10862.2,0.64069,1.03387,1.70061,0.70689,0.4625,0.49883,0.41455,0.65012,1.11065,1.6683,0.000534037,0.000534037,0.000534037
7,12610.6,0.61125,0.96151,1.65164,0.71877,0.46582,0.50211,0.42129,0.61512,1.05612,1.62727,0.000459045,0.000459045,0.000459045
8,14361.1,0.58213,0.90797,1.62215,0.70539,0.46353,0.49842,0.42508,0.59223,1.07792,1.60597,0.000384052,0.000384052,0.000384052
9,16113.1,0.55228,0.83508,1.57966,0.76139,0.48529,0.52756,0.45036,0.57069,0.96211,1.58997,0.00030906,0.00030906,0.00030906
10,17924.2,0.52428,0.78291,1.55502,0.74774,0.49365,0.53369,0.45699,0.5612,0.93268,1.56015,0.000234068,0.000234068,0.000234068
11,19736.6,0.50668,0.74095,1.53362,0.75555,0.487,0.53284,0.45777,0.54402,0.95463,1.5593,0.000159075,0.000159075,0.000159075
12,21545.4,0.48017,0.69052,1.49058,0.77467,0.49215,0.54102,0.46101,0.52772,0.90959,1.52679,8.40825e-05,8.40825e-05,8.40825e-05
